run 1,,,,,,,,,
"graph [30,0.1]",,,,,,,,,
"first_unassigned_variable, unordered_domain_values, no_inference",7,0.0007689,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",7,0.000436068,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",7,0.000745058,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",7,0.000484943,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",7,0.000722885,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"first_unassigned_variable, lcv, mac",7,0.000942945,30,0,"{0: 0, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 2, 7: 0, 8: 2, 9: 3, 10: 1, 11: 0, 12: 2, 13: 0, 14: 1, 15: 2, 16: 4, 17: 3, 18: 4, 19: 2, 20: 4, 21: 5, 22: 5, 23: 0, 24: 6, 25: 5, 26: 3, 27: 1, 28: 5, 29: 3}",TRUE,,,
"mrv, unordered_domain_values, no_inference",7,0.000953913,30,0,"{20: 4, 21: 5, 5: 1, 25: 5, 13: 0, 28: 5, 17: 3, 7: 0, 2: 1, 0: 0, 3: 1, 11: 0, 9: 3, 8: 2, 19: 2, 18: 4, 4: 0, 29: 3, 14: 1, 24: 6, 22: 5, 26: 3, 15: 2, 6: 2, 16: 4, 23: 0, 1: 0, 10: 1, 27: 1, 12: 2}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",7,0.001028061,30,0,"{6: 2, 15: 2, 22: 5, 20: 4, 24: 6, 12: 2, 18: 4, 16: 4, 29: 3, 5: 1, 9: 3, 2: 1, 10: 1, 11: 0, 14: 1, 25: 5, 23: 0, 4: 0, 7: 0, 19: 2, 3: 1, 21: 5, 17: 3, 27: 1, 8: 2, 13: 0, 1: 0, 0: 0, 26: 3, 28: 5}",TRUE,,,
"mrv, unordered_domain_values, mac",7,0.001394987,30,0,"{12: 2, 6: 2, 9: 3, 8: 2, 13: 0, 29: 3, 2: 1, 10: 1, 21: 5, 5: 1, 11: 0, 4: 0, 18: 4, 0: 0, 23: 0, 17: 3, 14: 1, 28: 5, 25: 5, 24: 6, 27: 1, 20: 4, 15: 2, 3: 1, 16: 4, 22: 5, 7: 0, 26: 3, 19: 2, 1: 0}",TRUE,,,
"mrv, lcv, no_inference",7,0.001168728,30,0,"{24: 6, 17: 3, 16: 4, 20: 4, 23: 0, 11: 0, 1: 0, 15: 2, 14: 1, 18: 4, 27: 1, 21: 5, 28: 5, 13: 0, 29: 3, 2: 1, 8: 2, 9: 3, 4: 0, 19: 2, 5: 1, 7: 0, 12: 2, 3: 1, 26: 3, 6: 2, 22: 5, 25: 5, 10: 1, 0: 0}",TRUE,,,
